activity_type_id,capacity,price,Fitness_center_id,main_trainer_id
7,91,13.68,670,800
3,75,33.01,634,801
4,73,19.94,1043,801
3,9,74.04,185,802
3,64,62.31,1032,802
5,25,58.5,514,803
7,67,36.29,494,804
3,90,60.71,1022,804
7,99,41.63,918,805
7,86,14.55,804,805
6,34,33.14,1050,807
7,88,43.87,333,807
5,13,38.9,159,808
5,75,96.7,977,808
4,97,93.79,495,809
5,19,99.25,680,809
5,86,56.5,657,810
4,62,72.31,238,810
5,54,42.96,283,811
7,31,75.45,851,811
5,79,27.59,738,813
3,81,70.35,610,814
6,81,75.12,140,815
7,33,6.5,859,816
4,57,47.9,1118,816
5,86,12.33,1050,817
6,77,36.5,204,817
3,89,28.13,1111,818
4,89,69.95,717,819
4,82,57.45,758,819
6,46,5.98,716,821
3,46,42.25,802,821
5,7,90.84,825,822
5,88,22.32,642,822
3,79,52.43,988,823
7,57,58.08,770,823
7,19,7.81,479,824
6,76,55.39,489,824
3,15,16.99,794,826
4,9,39.25,892,826
5,45,50.47,1055,827
6,59,14.72,675,828
7,73,21.37,751,828
5,96,99.15,840,829
5,94,28.57,514,830
7,31,96.57,582,831
6,88,44.34,1116,832
7,21,11.35,248,832
3,53,18.22,613,833
5,78,57.5,495,833
4,64,63.15,863,834
7,20,89.05,529,834
4,57,58.95,1100,836
3,68,57.82,633,836
5,30,93.24,206,837
6,80,91.02,184,837
4,88,70.94,1106,838
6,15,64.3,827,838
5,56,32.23,488,839
4,91,42.88,852,840
5,37,72.06,998,842
4,7,36.49,960,842
6,65,99.81,513,844
4,45,84.76,424,844
4,95,39.2,994,845
4,14,65.88,278,845
4,32,92.56,641,846
4,64,20.33,213,846
7,19,76.33,424,847
5,46,85.55,599,848
7,85,86.14,555,849
5,21,98.58,571,850
5,23,13.46,633,851
4,47,53.58,140,851
3,95,67.91,260,852
4,55,21.93,777,852
5,56,21.97,348,853
6,51,40.26,577,853
6,97,51.85,1082,854
4,71,32.44,641,854
4,25,53.36,766,855
3,11,97.77,176,855
7,82,26.64,468,857
4,33,91.35,232,857
4,78,26.32,127,858
3,68,80.37,677,858
5,83,47.57,125,859
4,19,20.3,562,859
6,26,78.22,732,860
6,72,37.05,328,861
6,79,35.82,184,861
4,76,83.14,288,862
3,93,52.12,526,862
6,67,52.53,935,863
5,71,25.3,583,863
5,13,84.39,512,864
5,46,92.65,916,864
5,92,46.1,965,865
4,63,83.98,933,865
4,35,95.64,1075,866
6,21,14.41,512,866
6,55,85.34,432,867
3,42,64.44,446,868
6,24,53.87,514,868
7,14,35.04,161,870
6,73,35.27,735,870
3,40,62.81,766,871
5,53,29.78,190,872
3,100,30.18,801,873
4,40,79.13,348,874
7,24,87.28,708,874
7,45,60.51,255,875
5,36,35.9,824,875
4,57,13.19,578,876
4,19,6.44,329,877
7,39,14.67,893,877
5,14,67.5,1085,878
4,80,34.01,750,881
6,99,17.43,143,882
4,76,91.59,696,882
3,53,90.68,192,883
4,24,7.46,306,883
3,91,52.49,986,885
6,79,70.91,714,885
7,45,80.31,497,887
4,40,25.93,897,889
6,60,42.75,811,890
3,86,65.29,1038,890
6,25,86.16,1037,891
5,28,36.83,964,891
3,42,37.08,867,892
5,54,8.39,665,892
3,42,80.52,618,893
3,23,69.69,986,894
3,75,87.61,208,895
6,64,28.31,981,895
7,50,18.97,144,897
5,28,8.69,626,897
4,50,29.29,232,899
6,97,7.43,743,899
6,15,90.18,429,900
5,79,12.33,555,900
7,46,74.44,664,901
6,33,27.52,1036,901
4,97,16.35,214,902
4,80,46.35,661,902
4,64,86.13,800,903
5,58,13.95,879,903
7,71,58.27,1004,906
4,41,86.64,847,906
4,90,10.65,939,907
7,44,59.74,548,907
4,42,29.12,609,908
4,76,57.14,719,908
4,78,51.34,391,909
4,82,22.6,446,909
6,93,35.72,964,910
4,9,56.4,653,911
5,17,30.24,750,911
6,22,17.81,887,912
7,57,10.42,1032,913
6,94,68.68,343,913
3,70,53.63,738,915
4,70,74.7,619,915
6,54,88.23,1023,916
6,93,47.89,124,916
4,8,32.73,443,917
3,79,21.46,1039,918
7,88,44.34,419,918
4,63,88.05,903,919
4,63,83.57,1055,919
7,6,38.08,1015,920
5,51,20.28,363,920
6,76,75.32,842,921
5,41,49.75,676,921
7,50,53.82,745,922
6,66,72.62,146,922
7,41,95.51,774,923
4,85,73.78,240,923
3,81,29.2,599,924
4,28,68.0,1109,924
6,59,18.95,1116,925
5,46,90.24,857,925
7,17,44.12,1109,927
3,25,69.0,548,927
6,19,46.45,1105,928
6,44,28.91,165,928
6,8,62.07,393,929
7,47,65.65,764,929
7,8,61.15,762,930
6,56,33.19,744,931
4,6,51.04,1056,932
7,64,39.98,286,933
3,82,52.53,1021,933
6,98,27.73,319,934
7,82,12.65,371,936
4,47,68.07,548,936
6,57,36.74,483,937
6,68,54.49,1010,937
5,42,33.55,1085,938
7,28,92.87,481,938
7,45,62.51,796,939
7,49,75.85,360,940
7,60,24.4,541,940
3,94,76.01,323,941
4,19,71.39,984,941
3,56,13.1,159,942
3,67,61.82,976,942
6,90,99.57,733,943
6,75,71.57,126,944
7,48,72.53,559,944
7,24,74.93,979,945
4,86,62.21,942,945
5,21,87.44,1010,946
7,37,22.76,946,948
3,61,85.86,290,948
5,28,21.98,226,949
6,61,86.36,179,951
6,54,27.86,267,952
6,50,10.41,896,952
5,5,96.86,437,953
7,73,65.41,1051,954
3,82,5.23,691,954
6,80,18.54,568,956
7,25,90.29,209,956
3,44,50.16,762,957
5,55,5.28,672,957
3,53,67.2,661,958
4,68,80.46,455,958
7,26,74.79,957,959
3,34,51.45,435,959
6,65,98.8,710,960
3,35,68.61,683,960
5,9,90.3,229,961
3,48,17.96,980,961
3,68,72.15,796,962
5,76,36.11,498,963
6,98,24.3,850,963
3,80,6.98,948,964
7,47,14.88,619,964
3,36,66.3,677,965
5,57,28.25,181,965
5,74,48.14,1026,966
7,85,30.97,1044,966
4,93,6.88,919,967
6,85,14.52,465,968
7,5,34.12,572,968
7,32,73.92,1056,969
3,68,18.78,348,969
3,28,79.45,512,971
3,84,96.85,886,971
7,45,85.18,473,972
4,80,77.99,441,972
3,68,55.96,855,973
5,34,82.3,743,973
5,67,13.04,812,974
7,91,74.38,204,975
4,44,5.69,774,976
4,79,60.82,126,976
7,60,63.89,987,977
6,40,95.28,585,977
5,47,62.59,1021,978
6,68,24.02,782,978
6,33,31.53,662,979
6,95,38.7,325,979
7,33,12.03,201,980
5,12,63.12,319,981
7,30,61.26,965,981
4,19,28.01,627,982
7,65,73.0,778,982
6,35,41.26,895,983
5,33,63.28,674,983
4,69,17.06,144,984
6,33,77.53,1079,984
6,5,50.68,1089,985
5,75,69.97,561,986
3,67,56.43,257,987
5,74,82.82,1069,987
4,81,99.13,550,988
4,100,41.17,407,988
4,7,66.63,833,989
5,43,88.63,844,990
4,73,57.9,932,991
6,94,14.73,676,992
3,89,22.04,663,992
5,20,26.51,640,993
6,11,29.98,273,993
5,33,85.13,704,994
7,5,47.07,774,995
4,45,96.73,745,996
5,79,15.79,824,996
4,22,23.72,127,997
3,48,58.69,759,997
6,29,67.6,881,998
3,88,19.09,975,998
4,61,52.05,1028,999
6,77,11.56,755,999
3,70,87.65,508,1000
